car_id,car_name,calls,total_seconds,avg_seconds
1,Dijkstra,72,0.024570700043113902,0.0003412597228210264
2,DijkstraFast,72,0.029263199932756834,0.0004064333323994005
3,Fildy Driver,73,0.00580430003174115,7.951095933891986e-05
4,Lightning McQueen,73,0.18882369995117188,0.002586626026728382
5,honzikovo_faro,73,0.013916399999288842,0.00019063561642861427
6,Luci,73,0.004322300068452023,5.920958997879484e-05
7,Škoda vyhrávat,73,0.0024870000197552145,3.406849342130431e-05
8,Cutie_killer,72,0.003661700015072711,5.085694465378765e-05
